eon,era,period,epoch,age,major_events,start
Phanerozoic,Paleozoic,Permian,Guadalupian,Roadian,"Landmasses unite into supercontinent Pangaea, creating the Appalachians. End of Permo-Carboniferous glaciation. Synapsids including (pelycosaurs and therapsids) become plentiful, while parareptiles and temnospondyl amphibians remain common. In the mid-Permian, coal-age flora are replaced by cone-bearing gymnosperms (the first true seed plants) and by the first true mosses. Beetles and flies evolve. Marine life flourishes in warm shallow reefs; productid and spiriferid brachiopods, bivalves, forams, and ammonoids all abundant. Permian-Triassic extinction event occurs 251 Ma: 95% of life on Earth becomes extinct, including all trilobites, graptolites, and blastoids. Ouachita and Innuitian orogenies in North America. Uralian orogeny in Europe/Asia tapers off. Altaid orogeny in Asia. Hunter-Bowen Orogeny on Australian continent begins (c. 260–225 Ma), forming the MacDonnell Ranges.",272.95 ± 0.5*
Phanerozoic,Paleozoic,Permian,Cisuralian,Kungurian,"Landmasses unite into supercontinent Pangaea, creating the Appalachians. End of Permo-Carboniferous glaciation. Synapsids including (pelycosaurs and therapsids) become plentiful, while parareptiles and temnospondyl amphibians remain common. In the mid-Permian, coal-age flora are replaced by cone-bearing gymnosperms (the first true seed plants) and by the first true mosses. Beetles and flies evolve. Marine life flourishes in warm shallow reefs; productid and spiriferid brachiopods, bivalves, forams, and ammonoids all abundant. Permian-Triassic extinction event occurs 251 Ma: 95% of life on Earth becomes extinct, including all trilobites, graptolites, and blastoids. Ouachita and Innuitian orogenies in North America. Uralian orogeny in Europe/Asia tapers off. Altaid orogeny in Asia. Hunter-Bowen Orogeny on Australian continent begins (c. 260–225 Ma), forming the MacDonnell Ranges.",283.5 ± 0.6
Phanerozoic,Paleozoic,Permian,Cisuralian,Artinskian,"Landmasses unite into supercontinent Pangaea, creating the Appalachians. End of Permo-Carboniferous glaciation. Synapsids including (pelycosaurs and therapsids) become plentiful, while parareptiles and temnospondyl amphibians remain common. In the mid-Permian, coal-age flora are replaced by cone-bearing gymnosperms (the first true seed plants) and by the first true mosses. Beetles and flies evolve. Marine life flourishes in warm shallow reefs; productid and spiriferid brachiopods, bivalves, forams, and ammonoids all abundant. Permian-Triassic extinction event occurs 251 Ma: 95% of life on Earth becomes extinct, including all trilobites, graptolites, and blastoids. Ouachita and Innuitian orogenies in North America. Uralian orogeny in Europe/Asia tapers off. Altaid orogeny in Asia. Hunter-Bowen Orogeny on Australian continent begins (c. 260–225 Ma), forming the MacDonnell Ranges.",290.1 ± 0.26
Phanerozoic,Paleozoic,Permian,Cisuralian,Sakmarian,"Landmasses unite into supercontinent Pangaea, creating the Appalachians. End of Permo-Carboniferous glaciation. Synapsids including (pelycosaurs and therapsids) become plentiful, while parareptiles and temnospondyl amphibians remain common. In the mid-Permian, coal-age flora are replaced by cone-bearing gymnosperms (the first true seed plants) and by the first true mosses. Beetles and flies evolve. Marine life flourishes in warm shallow reefs; productid and spiriferid brachiopods, bivalves, forams, and ammonoids all abundant. Permian-Triassic extinction event occurs 251 Ma: 95% of life on Earth becomes extinct, including all trilobites, graptolites, and blastoids. Ouachita and Innuitian orogenies in North America. Uralian orogeny in Europe/Asia tapers off. Altaid orogeny in Asia. Hunter-Bowen Orogeny on Australian continent begins (c. 260–225 Ma), forming the MacDonnell Ranges.",295 ± 0.18
Phanerozoic,Paleozoic,Permian,Cisuralian,Asselian,"Landmasses unite into supercontinent Pangaea, creating the Appalachians. End of Permo-Carboniferous glaciation. Synapsids including (pelycosaurs and therapsids) become plentiful, while parareptiles and temnospondyl amphibians remain common. In the mid-Permian, coal-age flora are replaced by cone-bearing gymnosperms (the first true seed plants) and by the first true mosses. Beetles and flies evolve. Marine life flourishes in warm shallow reefs; productid and spiriferid brachiopods, bivalves, forams, and ammonoids all abundant. Permian-Triassic extinction event occurs 251 Ma: 95% of life on Earth becomes extinct, including all trilobites, graptolites, and blastoids. Ouachita and Innuitian orogenies in North America. Uralian orogeny in Europe/Asia tapers off. Altaid orogeny in Asia. Hunter-Bowen Orogeny on Australian continent begins (c. 260–225 Ma), forming the MacDonnell Ranges.",298.9 ± 0.15*
Phanerozoic,Paleozoic,Carbon-iferous[g],Pennsylvanian,Gzhelian,"Winged insects radiate suddenly; some (esp. Protodonata and Palaeodictyoptera) are quite large. Amphibians common and diverse. First reptiles and coal forests (scale trees, ferns, club trees, giant horsetails, Cordaites, etc.). Highest-ever atmospheric oxygen levels. Goniatites, brachiopods, bryozoa, bivalves, and corals plentiful in the seas and oceans. Testate forams proliferate. Uralian orogeny in Europe and Asia. Variscan orogeny occurs towards middle and late Mississippian Periods.",303.7 ± 0.1
Phanerozoic,Paleozoic,Carbon-iferous[g],Pennsylvanian,Kasimovian,"Winged insects radiate suddenly; some (esp. Protodonata and Palaeodictyoptera) are quite large. Amphibians common and diverse. First reptiles and coal forests (scale trees, ferns, club trees, giant horsetails, Cordaites, etc.). Highest-ever atmospheric oxygen levels. Goniatites, brachiopods, bryozoa, bivalves, and corals plentiful in the seas and oceans. Testate forams proliferate. Uralian orogeny in Europe and Asia. Variscan orogeny occurs towards middle and late Mississippian Periods.",307 ± 0.1
Phanerozoic,Paleozoic,Carbon-iferous[g],Pennsylvanian,Moscovian,"Winged insects radiate suddenly; some (esp. Protodonata and Palaeodictyoptera) are quite large. Amphibians common and diverse. First reptiles and coal forests (scale trees, ferns, club trees, giant horsetails, Cordaites, etc.). Highest-ever atmospheric oxygen levels. Goniatites, brachiopods, bryozoa, bivalves, and corals plentiful in the seas and oceans. Testate forams proliferate. Uralian orogeny in Europe and Asia. Variscan orogeny occurs towards middle and late Mississippian Periods.",315.2 ± 0.2
Phanerozoic,Paleozoic,Carbon-iferous[g],Pennsylvanian,Bashkirian,"Winged insects radiate suddenly; some (esp. Protodonata and Palaeodictyoptera) are quite large. Amphibians common and diverse. First reptiles and coal forests (scale trees, ferns, club trees, giant horsetails, Cordaites, etc.). Highest-ever atmospheric oxygen levels. Goniatites, brachiopods, bryozoa, bivalves, and corals plentiful in the seas and oceans. Testate forams proliferate. Uralian orogeny in Europe and Asia. Variscan orogeny occurs towards middle and late Mississippian Periods.",323.2 ± 0.4*
Phanerozoic,Paleozoic,Carbon-iferous[g],Mississippian,Serpukhovian,"Large primitive trees, first land vertebrates, and amphibious sea-scorpions live amid coal-forming coastal swamps. Lobe-finned rhizodonts are dominant big fresh-water predators. In the oceans, early sharks are common and quite diverse; echinoderms (especially crinoids and blastoids) abundant. Corals, bryozoa, goniatites and brachiopods (Productida, Spiriferida, etc.) very common, but trilobites and nautiloids decline. Glaciation in East Gondwana. Tuhua Orogeny in New Zealand tapers off.",330.9 ± 0.2
Phanerozoic,Paleozoic,Carbon-iferous[g],Mississippian,Viséan,"Large primitive trees, first land vertebrates, and amphibious sea-scorpions live amid coal-forming coastal swamps. Lobe-finned rhizodonts are dominant big fresh-water predators. In the oceans, early sharks are common and quite diverse; echinoderms (especially crinoids and blastoids) abundant. Corals, bryozoa, goniatites and brachiopods (Productida, Spiriferida, etc.) very common, but trilobites and nautiloids decline. Glaciation in East Gondwana. Tuhua Orogeny in New Zealand tapers off.",346.7 ± 0.4*
Phanerozoic,Paleozoic,Carbon-iferous[g],Mississippian,Tournaisian,"Large primitive trees, first land vertebrates, and amphibious sea-scorpions live amid coal-forming coastal swamps. Lobe-finned rhizodonts are dominant big fresh-water predators. In the oceans, early sharks are common and quite diverse; echinoderms (especially crinoids and blastoids) abundant. Corals, bryozoa, goniatites and brachiopods (Productida, Spiriferida, etc.) very common, but trilobites and nautiloids decline. Glaciation in East Gondwana. Tuhua Orogeny in New Zealand tapers off.",358.9 ± 0.4*
Phanerozoic,Paleozoic,Devonian,Late,Famennian,"First clubmosses, horsetails and ferns appear, as do the first seed-bearing plants (progymnosperms), first trees (the progymnosperm Archaeopteris), and first (wingless) insects. Strophomenid and atrypid brachiopods, rugose and tabulate corals, and crinoids are all abundant in the oceans. Goniatite ammonoids are plentiful, while squid-like coleoids arise. Trilobites and armoured agnaths decline, while jawed fishes (placoderms, lobe-finned and ray-finned fish, and early sharks) rule the seas. First tetrapods still aquatic. ""Old Red Continent"" of Euramerica. Beginning of Acadian Orogeny for Anti-Atlas Mountains of North Africa, and Appalachian Mountains of North America, also the Antler, Variscan, and Tuhua Orogeny in New Zealand.",372.2 ± 1.6*
Phanerozoic,Paleozoic,Devonian,Late,Frasnian,"First clubmosses, horsetails and ferns appear, as do the first seed-bearing plants (progymnosperms), first trees (the progymnosperm Archaeopteris), and first (wingless) insects. Strophomenid and atrypid brachiopods, rugose and tabulate corals, and crinoids are all abundant in the oceans. Goniatite ammonoids are plentiful, while squid-like coleoids arise. Trilobites and armoured agnaths decline, while jawed fishes (placoderms, lobe-finned and ray-finned fish, and early sharks) rule the seas. First tetrapods still aquatic. ""Old Red Continent"" of Euramerica. Beginning of Acadian Orogeny for Anti-Atlas Mountains of North Africa, and Appalachian Mountains of North America, also the Antler, Variscan, and Tuhua Orogeny in New Zealand.",382.7 ± 1.6*
Phanerozoic,Paleozoic,Devonian,Middle,Givetian,"First clubmosses, horsetails and ferns appear, as do the first seed-bearing plants (progymnosperms), first trees (the progymnosperm Archaeopteris), and first (wingless) insects. Strophomenid and atrypid brachiopods, rugose and tabulate corals, and crinoids are all abundant in the oceans. Goniatite ammonoids are plentiful, while squid-like coleoids arise. Trilobites and armoured agnaths decline, while jawed fishes (placoderms, lobe-finned and ray-finned fish, and early sharks) rule the seas. First tetrapods still aquatic. ""Old Red Continent"" of Euramerica. Beginning of Acadian Orogeny for Anti-Atlas Mountains of North Africa, and Appalachian Mountains of North America, also the Antler, Variscan, and Tuhua Orogeny in New Zealand.",387.7 ± 0.8*
Phanerozoic,Paleozoic,Devonian,Middle,Eifelian,"First clubmosses, horsetails and ferns appear, as do the first seed-bearing plants (progymnosperms), first trees (the progymnosperm Archaeopteris), and first (wingless) insects. Strophomenid and atrypid brachiopods, rugose and tabulate corals, and crinoids are all abundant in the oceans. Goniatite ammonoids are plentiful, while squid-like coleoids arise. Trilobites and armoured agnaths decline, while jawed fishes (placoderms, lobe-finned and ray-finned fish, and early sharks) rule the seas. First tetrapods still aquatic. ""Old Red Continent"" of Euramerica. Beginning of Acadian Orogeny for Anti-Atlas Mountains of North Africa, and Appalachian Mountains of North America, also the Antler, Variscan, and Tuhua Orogeny in New Zealand.",393.3 ± 1.2*
Phanerozoic,Paleozoic,Devonian,Early,Emsian,"First clubmosses, horsetails and ferns appear, as do the first seed-bearing plants (progymnosperms), first trees (the progymnosperm Archaeopteris), and first (wingless) insects. Strophomenid and atrypid brachiopods, rugose and tabulate corals, and crinoids are all abundant in the oceans. Goniatite ammonoids are plentiful, while squid-like coleoids arise. Trilobites and armoured agnaths decline, while jawed fishes (placoderms, lobe-finned and ray-finned fish, and early sharks) rule the seas. First tetrapods still aquatic. ""Old Red Continent"" of Euramerica. Beginning of Acadian Orogeny for Anti-Atlas Mountains of North Africa, and Appalachian Mountains of North America, also the Antler, Variscan, and Tuhua Orogeny in New Zealand.",407.6 ± 2.6*
Phanerozoic,Paleozoic,Devonian,Early,Pragian,"First clubmosses, horsetails and ferns appear, as do the first seed-bearing plants (progymnosperms), first trees (the progymnosperm Archaeopteris), and first (wingless) insects. Strophomenid and atrypid brachiopods, rugose and tabulate corals, and crinoids are all abundant in the oceans. Goniatite ammonoids are plentiful, while squid-like coleoids arise. Trilobites and armoured agnaths decline, while jawed fishes (placoderms, lobe-finned and ray-finned fish, and early sharks) rule the seas. First tetrapods still aquatic. ""Old Red Continent"" of Euramerica. Beginning of Acadian Orogeny for Anti-Atlas Mountains of North Africa, and Appalachian Mountains of North America, also the Antler, Variscan, and Tuhua Orogeny in New Zealand.",410.8 ± 2.8*
Phanerozoic,Paleozoic,Devonian,Early,Lochkovian,"First clubmosses, horsetails and ferns appear, as do the first seed-bearing plants (progymnosperms), first trees (the progymnosperm Archaeopteris), and first (wingless) insects. Strophomenid and atrypid brachiopods, rugose and tabulate corals, and crinoids are all abundant in the oceans. Goniatite ammonoids are plentiful, while squid-like coleoids arise. Trilobites and armoured agnaths decline, while jawed fishes (placoderms, lobe-finned and ray-finned fish, and early sharks) rule the seas. First tetrapods still aquatic. ""Old Red Continent"" of Euramerica. Beginning of Acadian Orogeny for Anti-Atlas Mountains of North Africa, and Appalachian Mountains of North America, also the Antler, Variscan, and Tuhua Orogeny in New Zealand.",419.2 ± 3.2*
Phanerozoic,Paleozoic,Silurian,Pridoli,Pridoli,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",423 ± 2.3*
Phanerozoic,Paleozoic,Silurian,Ludlow,Ludfordian,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",425.6 ± 0.9*
Phanerozoic,Paleozoic,Silurian,Ludlow,Gorstian,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",427.4 ± 0.5*
Phanerozoic,Paleozoic,Silurian,Wenlock,Homerian,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",430.5 ± 0.7*
Phanerozoic,Paleozoic,Silurian,Wenlock,Sheinwoodian,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",433.4 ± 0.8*
Phanerozoic,Paleozoic,Silurian,Llandovery,Telychian,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",438.5 ± 1.1*
Phanerozoic,Paleozoic,Silurian,Llandovery,Aeronian,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",440.8 ± 1.2*
Phanerozoic,Paleozoic,Silurian,Llandovery,Rhuddanian,"First vascular plants (the rhyniophytes and their relatives), first millipedes and arthropleurids on land. First jawed fishes, as well as many armoured jawless fish, populate the seas. Sea-scorpions reach large size. Tabulate and rugose corals, brachiopods (Pentamerida, Rhynchonellida, etc.), and crinoids all abundant. Trilobites and mollusks diverse; graptolites not as varied. Beginning of Caledonian Orogeny for hills in England, Ireland, Wales, Scotland, and the Scandinavian Mountains. Also continued into Devonian period as the Acadian Orogeny, above. Taconic Orogeny tapers off. Lachlan Orogeny on Australian continent tapers off.",443.8 ± 1.5*
Phanerozoic,Paleozoic,Ordovician,Late,Hirnantian,"Invertebrates diversify into many new types (e.g., long straight-shelled cephalopods). Early corals, articulate brachiopods (Orthida, Strophomenida, etc.), bivalves, nautiloids, trilobites, ostracods, bryozoa, many types of echinoderms (crinoids, cystoids, starfish, etc.), branched graptolites, and other taxa all common. Conodonts (early planktonic vertebrates) appear. First green plants and fungi on land. Ice age at end of period.",445.2 ± 1.4*
Phanerozoic,Paleozoic,Ordovician,Late,Katian,"Invertebrates diversify into many new types (e.g., long straight-shelled cephalopods). Early corals, articulate brachiopods (Orthida, Strophomenida, etc.), bivalves, nautiloids, trilobites, ostracods, bryozoa, many types of echinoderms (crinoids, cystoids, starfish, etc.), branched graptolites, and other taxa all common. Conodonts (early planktonic vertebrates) appear. First green plants and fungi on land. Ice age at end of period.",453 ± 0.7*
Phanerozoic,Paleozoic,Ordovician,Late,Sandbian,"Invertebrates diversify into many new types (e.g., long straight-shelled cephalopods). Early corals, articulate brachiopods (Orthida, Strophomenida, etc.), bivalves, nautiloids, trilobites, ostracods, bryozoa, many types of echinoderms (crinoids, cystoids, starfish, etc.), branched graptolites, and other taxa all common. Conodonts (early planktonic vertebrates) appear. First green plants and fungi on land. Ice age at end of period.",458.4 ± 0.9*
Phanerozoic,Paleozoic,Ordovician,Middle,Darriwilian,"Invertebrates diversify into many new types (e.g., long straight-shelled cephalopods). Early corals, articulate brachiopods (Orthida, Strophomenida, etc.), bivalves, nautiloids, trilobites, ostracods, bryozoa, many types of echinoderms (crinoids, cystoids, starfish, etc.), branched graptolites, and other taxa all common. Conodonts (early planktonic vertebrates) appear. First green plants and fungi on land. Ice age at end of period.",467.3 ± 1.1*
Phanerozoic,Paleozoic,Ordovician,Middle,Dapingian,"Invertebrates diversify into many new types (e.g., long straight-shelled cephalopods). Early corals, articulate brachiopods (Orthida, Strophomenida, etc.), bivalves, nautiloids, trilobites, ostracods, bryozoa, many types of echinoderms (crinoids, cystoids, starfish, etc.), branched graptolites, and other taxa all common. Conodonts (early planktonic vertebrates) appear. First green plants and fungi on land. Ice age at end of period.",470 ± 1.4*
Phanerozoic,Paleozoic,Ordovician,Early,Floian(formerly Arenig),"Invertebrates diversify into many new types (e.g., long straight-shelled cephalopods). Early corals, articulate brachiopods (Orthida, Strophomenida, etc.), bivalves, nautiloids, trilobites, ostracods, bryozoa, many types of echinoderms (crinoids, cystoids, starfish, etc.), branched graptolites, and other taxa all common. Conodonts (early planktonic vertebrates) appear. First green plants and fungi on land. Ice age at end of period.",477.7 ± 1.4*
Phanerozoic,Paleozoic,Ordovician,Early,Tremadocian,"Invertebrates diversify into many new types (e.g., long straight-shelled cephalopods). Early corals, articulate brachiopods (Orthida, Strophomenida, etc.), bivalves, nautiloids, trilobites, ostracods, bryozoa, many types of echinoderms (crinoids, cystoids, starfish, etc.), branched graptolites, and other taxa all common. Conodonts (early planktonic vertebrates) appear. First green plants and fungi on land. Ice age at end of period.",485.4 ± 1.9*
Phanerozoic,Paleozoic,Cambrian,Furongian,Stage 10,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~489.5
Phanerozoic,Paleozoic,Cambrian,Furongian,Jiangshanian,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~494*
Phanerozoic,Paleozoic,Cambrian,Furongian,Paibian,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~497*
Phanerozoic,Paleozoic,Cambrian,Miaolingian,Guzhangian,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~500.5*
Phanerozoic,Paleozoic,Cambrian,Miaolingian,Drumian,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~504.5*
Phanerozoic,Paleozoic,Cambrian,Miaolingian,Wuliuan,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~509
Phanerozoic,Paleozoic,Cambrian,Series 2,Stage 4,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~514
Phanerozoic,Paleozoic,Cambrian,Series 2,Stage 3,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~521
Phanerozoic,Paleozoic,Cambrian,Terreneuvian,Stage 2,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~529
Phanerozoic,Paleozoic,Cambrian,Terreneuvian,Fortunian,"Major diversification of life in the Cambrian Explosion. Numerous fossils; most modern animal phyla appear. First chordates appear, along with a number of extinct, problematic phyla. Reef-building Archaeocyatha abundant; then vanish. Trilobites, priapulid worms, sponges, inarticulate brachiopods (unhinged lampshells), and numerous other animals. Anomalocarids are giant predators, while many Ediacaran fauna die out. Prokaryotes, protists (e.g., forams), fungi and algae continue to present day. Gondwana emerges. Petermann Orogeny on the Australian continent tapers off (550–535 Ma). Ross Orogeny in Antarctica. Delamerian Orogeny (c. 514–490 Ma) and Lachlan Orogeny (c. 540–440 Ma) on Australian continent. Atmospheric CO2 content roughly 15 times present-day (Holocene) levels (6000 ppmv compared to today's 400 ppmv)[31][f]",~541 ± 1.0*
